receipt_id,text,label,makro_label,total_belanja
69,cola medium chicken nugget pudding chocolate lemon tea ice cream cone burger cheese,Fast Food,Food & Beverage,149000
70,oppo a,Electronics & Software,Lifestyle & Entertainment,2104000
71,banana bread extra shot oat milk spanish latte iced americano cinnamon roll caffe latte kopi susu gula aren chocolate ice almond croissant,Coffee Shops,Food & Beverage,730000
72,saus sambal abc sosis so nice filma minyak l lifebuoy sabun batang roti tawar sari roti bimoli l,Groceries,Food & Beverage,120300
73,sosis so nice walls cornetto pop mie ayam,Groceries,Food & Beverage,56000
74,teh pucuk fiesta nugget piattos sapi panggang ultra milk coklat yakult indomie ayam bawang,Groceries,Food & Beverage,251000
75,sambal extra,Fast Food,Food & Beverage,5000
76,lampu led keran air bantal sofa,Home Improvement,Housing & Utilities,228500
77,panadol biru strip paracetamol mg minyak kayu putih,Health,Health & Personal Care,181500
78,revvo,Gas & Fuel,Transportation,448000
79,beras ramos,Groceries,Food & Beverage,300000
80,powerbank flashdisk,Electronics & Software,Lifestyle & Entertainment,430500
81,rinso deterjen super pell kain pel karbol wangi stella pengharum sabun cuci tangan,Household,Housing & Utilities,636000
82,keyboard usb charger fast redmi note,Electronics & Software,Lifestyle & Entertainment,8441000
83,mie ayam jamur soto ayam es teh manis service charge,Restaurants,Food & Beverage,309300
84,revlon lipstick wardah lightening toner makarizo hair mask,Beauty,Health & Personal Care,181000
85,mie goreng jawa,Restaurants,Food & Beverage,81000
86,food container set jam dinding pot tanaman,Home Improvement,Housing & Utilities,392000
87,wipol rinso deterjen baygon aerosol sabun cuci tangan molto pewangi,Household,Housing & Utilities,593700
88,rak susun tingkat organizer drawer,Home Improvement,Housing & Utilities,221500
89,tax resto rice bowl chicken paket hemat,Fast Food,Food & Beverage,163000
90,indomie goreng roma kelapa pepsodent le minerale,Groceries,Food & Beverage,99000
91,kabel roll stop rak susun tingkat food container set pot tanaman cat tembok pisau dapur gantungan baju set jam dinding,Home Improvement,Housing & Utilities,1247500
92,herborist body butter vaseline body lotion hand cream somethinc serum,Beauty,Health & Personal Care,302000
93,take away bag paket burger combo pb chicken nugget french fries sambal extra,Fast Food,Food & Beverage,326700
94,dexlite,Gas & Fuel,Transportation,315000
95,legging sport kemeja oxford topi baseball,Apparel,Lifestyle & Entertainment,622000
96,ponds face wash azarine sunscreen,Beauty,Health & Personal Care,128000
97,service charge nasi goreng spesial jeruk hangat cumi saus padang,Restaurants,Food & Beverage,209000
98,almond croissant brownies,Coffee Shops,Food & Beverage,103000
99,bebek goreng mie goreng jawa mie ayam jamur ayam bakar madu,Restaurants,Food & Beverage,346000
100,tiket ferry airport train parkir mobil tol jakarta cikampek,Transportation,Transportation,232000
101,garam refina kecap bango chitato sapi panggang sosis so nice pop mie ayam mie sedaap soto pepsodent tissue nice s telur ayam frisian flag uht,Groceries,Food & Beverage,324200
102,oreo vanilla teh pucuk,Groceries,Food & Beverage,46000
103,cat tembok obeng set kabel roll stop artificial plant talenan,Home Improvement,Housing & Utilities,590000
104,sambal extra nasi putih cola medium burger cheese take away bag,Fast Food,Food & Beverage,99400
105,kopi kapal api mix telur ayam good day cappuccino yakult chitato sapi panggang lifebuoy sabun batang,Groceries,Food & Beverage,93000
106,mie ayam jamur bebek goreng capcay seafood,Restaurants,Food & Beverage,241000
107,rice bowl chicken service charge,Fast Food,Food & Beverage,27500
108,ayam bakar madu service charge capcay seafood bakso urat service charge es cendol kwetiau siram sapi nasi goreng spesial jeruk hangat cumi saus padang air mineral,Restaurants,Food & Beverage,676200
109,telur ayam yakult,Groceries,Food & Beverage,146000
110,pertalite,Gas & Fuel,Transportation,200000
111,ayam goreng crispy chicken nugget spicy chicken wings,Fast Food,Food & Beverage,152000
112,polo shirt topi baseball ikat pinggang,Apparel,Lifestyle & Entertainment,621000
113,roma kelapa,Groceries,Food & Beverage,9000
114,burger cheese rice bowl chicken ayam goreng crispy,Fast Food,Food & Beverage,103000
115,karbol wangi sabun cuci tangan plastik sampah x sikat wc wipol,Household,Housing & Utilities,537000
116,soto ayam sate ayam tsk,Restaurants,Food & Beverage,134000
117,hansaplast minyak kayu putih,Health,Health & Personal Care,51000
118,antangin cair enervon c botol promag tablet,Health,Health & Personal Care,90500
119,sosis so nice lifebuoy sabun batang beras ramos sunlight lime roti tawar sari roti indomie ayam bawang chitato sapi panggang le minerale tepung segitiga biru pop mie ayam,Groceries,Food & Beverage,403200
120,shell v power,Gas & Fuel,Transportation,576000
121,yakult mie sedaap soto walls cornetto frisian flag uht garam refina,Groceries,Food & Beverage,81000
122,frisian flag uht filma minyak l kopi kapal api mix pop mie ayam tepung segitiga biru good day cappuccino yakult,Groceries,Food & Beverage,237500
123,indomie goreng,Groceries,Food & Beverage,7000
124,garnier micellar water ponds face wash emina lip cream,Beauty,Health & Personal Care,130500
125,case hp,Electronics & Software,Lifestyle & Entertainment,114000
126,gurame bakar kwetiau siram sapi soto ayam nasi goreng spesial bakso urat ayam bakar madu,Restaurants,Food & Beverage,294000
127,gurame bakar nasi goreng spesial,Restaurants,Food & Beverage,309500
128,bp,Gas & Fuel,Transportation,435000
129,sate ayam tsk air mineral tax resto,Restaurants,Food & Beverage,48000
130,le minerale telur ayam indomie goreng,Groceries,Food & Beverage,41000
131,gurame bakar mie ayam jamur nasi goreng spesial service charge,Restaurants,Food & Beverage,515000
132,pudding chocolate,Fast Food,Food & Beverage,10000
133,yakult roti tawar sari roti saus sambal abc piattos sapi panggang sunlight lime gula pasir,Groceries,Food & Beverage,99000
134,take away bag lemon tea chicken nugget french fries,Fast Food,Food & Beverage,84000
135,sambal extra ayam goreng crispy ice cream cone rice bowl chicken,Fast Food,Food & Beverage,229000
136,obeng set sekrup set organizer drawer pisau dapur lampu led storage box l artificial plant,Home Improvement,Housing & Utilities,638300
137,oppo a case hp charger fast,Electronics & Software,Lifestyle & Entertainment,2366000
138,makarizo hair mask garnier micellar water ponds face wash wardah lightening toner azarine sunscreen ellips hair vitamin maybelline fit me skintific moisturizer hand cream pixy bedak two way cake,Beauty,Health & Personal Care,663300
139,sepatu sneakers jeans slim fit,Apparel,Lifestyle & Entertainment,1238000
140,chicken nugget lemon tea burger cheese,Fast Food,Food & Beverage,110000
141,spaghetti chicken paket burger combo chicken nugget take away bag,Fast Food,Food & Beverage,417500
142,beras ramos walls cornetto yakult,Groceries,Food & Beverage,201200
143,shell v power,Gas & Fuel,Transportation,289000
144,panadol biru strip komix jahe paracetamol mg,Health,Health & Personal Care,60000
145,stella pengharum plastik sampah x sikat wc molto pewangi attack easy wipol sunlight lime,Household,Housing & Utilities,353500
146,cumi saus padang bebek goreng es cendol ayam bakar madu nasi goreng spesial,Restaurants,Food & Beverage,251000
147,bodrex flu batuk vitamin c mg sanmol tablet obh combi komix jahe,Health,Health & Personal Care,117300
148,oralit sachet antangin cair,Health,Health & Personal Care,6000
149,shell v power,Gas & Fuel,Transportation,225000
150,jeruk hangat,Restaurants,Food & Beverage,9500
151,ultra milk coklat nu green tea piattos sapi panggang lifebuoy sabun batang,Groceries,Food & Beverage,71200
152,shuttle bandung jkt,Transportation,Transportation,418000
153,pertamax,Gas & Fuel,Transportation,429000
154,promag tablet panadol biru strip komix jahe betadine,Health,Health & Personal Care,102400
155,kopi susu gula aren lychee tea,Coffee Shops,Food & Beverage,70500
156,kopi kapal api mix oreo vanilla pop mie ayam silverqueen,Groceries,Food & Beverage,42000
157,mie goreng jawa nasi putih bebek goreng cumi saus padang bakso urat soto ayam dimsum ayam air mineral gurame bakar sop iga,Restaurants,Food & Beverage,1165000
158,mouse wireless,Electronics & Software,Lifestyle & Entertainment,230000
159,garam refina,Groceries,Food & Beverage,24000
160,es teh manis jeruk hangat bakso urat capcay seafood,Restaurants,Food & Beverage,166800
161,ultra milk coklat,Groceries,Food & Beverage,14000
162,walls cornetto garam refina le minerale silverqueen,Groceries,Food & Beverage,167000
163,sunlight lime teh pucuk beras ramos ultra milk coklat indomie goreng,Groceries,Food & Beverage,350500
164,nasi putih spaghetti chicken cola medium paket hemat spicy chicken wings service charge pudding chocolate,Fast Food,Food & Beverage,264500
165,molto pewangi sikat wc lap microfiber,Household,Housing & Utilities,116500
166,tepung segitiga biru walls cornetto,Groceries,Food & Beverage,38000
167,revvo,Gas & Fuel,Transportation,559000
168,indomie ayam bawang frisian flag uht tepung segitiga biru teh pucuk,Groceries,Food & Beverage,70000
169,sos pembersih lantai rinso deterjen wipol lap microfiber super pell,Household,Housing & Utilities,282000
170,french fries paket burger combo lemon tea paket hemat paket ayam nasi,Fast Food,Food & Beverage,201500
171,keyboard usb usb hub port,Electronics & Software,Lifestyle & Entertainment,496000
172,kopi kapal api mix filma minyak l chitato sapi panggang indomie ayam bawang ultra milk coklat,Groceries,Food & Beverage,157000
173,anti gores hp charger fast redmi note,Electronics & Software,Lifestyle & Entertainment,2779000
174,attack easy kain pel wipol sos pembersih lantai karbol wangi,Household,Housing & Utilities,288000
175,panadol biru strip sanmol tablet komix jahe enervon c botol,Health,Health & Personal Care,143500
176,karbol wangi sikat wc plastik sampah x lap microfiber molto pewangi,Household,Housing & Utilities,182000
177,take away bag cola medium ayam goreng crispy paket burger combo ice cream cone,Fast Food,Food & Beverage,164800
178,pertamax turbo,Gas & Fuel,Transportation,315000
179,pertamax turbo air mineral,Gas & Fuel,Transportation,308200
180,wardah lightening toner herborist body butter skintific moisturizer ellips hair vitamin emina lip cream,Beauty,Health & Personal Care,364000
181,kecap bango bimoli l,Groceries,Food & Beverage,89400
182,organizer drawer storage box l food container set bantal sofa keran air jam dinding,Home Improvement,Housing & Utilities,899600
183,tepung segitiga biru good day cappuccino saus sambal abc filma minyak l walls cornetto frisian flag uht nu green tea,Groceries,Food & Beverage,124000
184,sanmol tablet betadine minyak kayu putih komix jahe,Health,Health & Personal Care,75000
185,kopi susu gula aren extra shot,Coffee Shops,Food & Beverage,69000
186,paket ayam nasi ayam goreng crispy,Fast Food,Food & Beverage,56000
187,rak susun tingkat gantungan baju set cat tembok storage box l organizer drawer kabel roll stop,Home Improvement,Housing & Utilities,1055500
188,organizer drawer sekrup set pisau dapur jam dinding food container set pot tanaman,Home Improvement,Housing & Utilities,491000
189,tolak angin box komix jahe oralit sachet,Health,Health & Personal Care,66100
190,sate ayam tsk pb es cendol,Restaurants,Food & Beverage,53000
191,molto pewangi karbol wangi super pell,Household,Housing & Utilities,154000
192,cinnamon roll cappuccino,Coffee Shops,Food & Beverage,72100
193,stella pengharum attack easy sunlight lime super pell lap microfiber baygon aerosol plastik sampah x sikat wc wipol sabun cuci tangan sos pembersih lantai rinso deterjen,Household,Housing & Utilities,673000
194,paket ayam nasi ayam goreng crispy lemon tea,Fast Food,Food & Beverage,85000
195,antangin cair hansaplast promag tablet termometer digital sanmol tablet,Health,Health & Personal Care,118900
196,silverqueen ultra milk coklat telur ayam,Groceries,Food & Beverage,216500
197,mie goreng jawa,Restaurants,Food & Beverage,38000
198,brownies es kopi pandan kopi susu gula aren lychee tea banana bread almond croissant,Coffee Shops,Food & Beverage,558000
199,nasi putih mie ayam jamur service charge,Restaurants,Food & Beverage,59000
200,chicken nugget,Fast Food,Food & Beverage,19000
201,dexlite,Gas & Fuel,Transportation,252000
202,telur ayam yakult beras ramos saus sambal abc oreo vanilla,Groceries,Food & Beverage,267000
203,almond croissant oat milk cappuccino chocolate ice cheesecake slice brownies,Coffee Shops,Food & Beverage,233500
204,spon cuci piring baygon aerosol sikat wc sabun cuci tangan super pell karbol wangi lap microfiber molto pewangi plastik sampah x,Household,Housing & Utilities,692000
205,ultra milk coklat garam refina aqua roma kelapa kecap bango chitato sapi panggang,Groceries,Food & Beverage,102800
206,silverqueen roti tawar sari roti kopi kapal api mix piattos sapi panggang oreo vanilla tepung segitiga biru,Groceries,Food & Beverage,177400
207,roma kelapa fiesta nugget ultra milk coklat silverqueen nu green tea,Groceries,Food & Beverage,125600
208,chicken popcorn sambal extra cola medium lemon tea,Fast Food,Food & Beverage,187000
209,sambal extra burger cheese,Fast Food,Food & Beverage,130000
210,le minerale good day cappuccino yakult indomie goreng lifebuoy sabun batang tissue nice s,Groceries,Food & Beverage,89800
211,attack easy karbol wangi kain pel tissue paseo s wipol,Household,Housing & Utilities,284500
212,pb rice bowl chicken lemon tea,Fast Food,Food & Beverage,159000
213,nasi putih ayam bakar madu bakso urat cumi saus padang,Restaurants,Food & Beverage,201000
214,mie sedaap soto,Groceries,Food & Beverage,3500
215,good day cappuccino indomie ayam bawang aqua,Groceries,Food & Beverage,28000
216,oat milk croissant butter chocolate ice brownies,Coffee Shops,Food & Beverage,371500
217,tepung segitiga biru tissue nice s roma kelapa,Groceries,Food & Beverage,102500
218,roti tawar sari roti pop mie ayam,Groceries,Food & Beverage,26000
219,kopi kapal api mix indomie ayam bawang pop mie ayam chitato sapi panggang tissue nice s,Groceries,Food & Beverage,61800
220,bp kopi kaleng,Gas & Fuel,Transportation,544800
221,panadol biru strip bodrex flu batuk,Health,Health & Personal Care,31000
222,oreo vanilla le minerale saus sambal abc sosis so nice fiesta nugget good day cappuccino telur ayam bimoli l pepsodent indomie goreng,Groceries,Food & Beverage,347500
223,extra shot chocolate ice lychee tea cappuccino es kopi pandan brownies matcha latte kopi susu gula aren banana bread oat milk,Coffee Shops,Food & Beverage,714500
224,topi baseball,Apparel,Lifestyle & Entertainment,114000
225,rinso deterjen spon cuci piring sabun cuci tangan sikat wc,Household,Housing & Utilities,176500
226,tissue nice s ultra milk coklat mie sedaap soto sosis so nice chitato sapi panggang lifebuoy sabun batang,Groceries,Food & Beverage,76000
227,ultra milk coklat le minerale good day cappuccino,Groceries,Food & Beverage,27000
228,croissant butter iced americano es kopi pandan caffe latte,Coffee Shops,Food & Beverage,167000
229,dexlite,Gas & Fuel,Transportation,434000
230,pepsodent telur ayam yakult,Groceries,Food & Beverage,109000
231,nasi putih es teh manis bebek goreng,Restaurants,Food & Beverage,86000
232,capcay seafood sate ayam tsk jeruk hangat,Restaurants,Food & Beverage,133000
233,bagasi tambahan tiket kereta eksekutif,Transportation,Transportation,888000
234,cheesecake slice spanish latte cappuccino,Coffee Shops,Food & Beverage,194000
235,nu green tea oreo vanilla filma minyak l good day cappuccino,Groceries,Food & Beverage,43000
236,filma minyak l nu green tea pepsodent pop mie ayam,Groceries,Food & Beverage,91000
237,kaos kaki,Apparel,Lifestyle & Entertainment,38000
238,skintific moisturizer vaseline body lotion emina lip cream somethinc serum,Beauty,Health & Personal Care,424000
239,sport bra kaos basic cotton baju anak polo shirt,Apparel,Lifestyle & Entertainment,753400
240,es teh manis es cendol gurame bakar,Restaurants,Food & Beverage,206000
241,pb service charge mie ayam jamur mie goreng jawa,Restaurants,Food & Beverage,90000
242,hand cream wardah lightening toner,Beauty,Health & Personal Care,82000
243,pixy bedak two way cake body mist makarizo hair mask,Beauty,Health & Personal Care,169000
244,azarine sunscreen body mist wardah lightening toner revlon lipstick scarlett body scrub,Beauty,Health & Personal Care,638500
245,bio solar,Gas & Fuel,Transportation,182000
246,good day cappuccino chitato sapi panggang bimoli l indomie goreng tepung segitiga biru teh pucuk roti tawar sari roti piattos sapi panggang indomie ayam bawang sunlight lime beras ramos le minerale,Groceries,Food & Beverage,379000
247,anti gores hp oppo a kabel data type c,Electronics & Software,Lifestyle & Entertainment,2891000
248,walls cornetto tissue nice s piattos sapi panggang filma minyak l aqua telur ayam tepung segitiga biru indomie ayam bawang le minerale kecap bango,Groceries,Food & Beverage,178200
249,garam refina tissue nice s pop mie ayam mie sedaap soto saus sambal abc sosis so nice piattos sapi panggang,Groceries,Food & Beverage,129000
250,kecap bango gula pasir fiesta nugget sosis so nice oreo vanilla walls cornetto bimoli l kopi kapal api mix chitato sapi panggang,Groceries,Food & Beverage,299800
251,bimoli l saus sambal abc piattos sapi panggang filma minyak l roti tawar sari roti gula pasir aqua telur ayam kopi kapal api mix,Groceries,Food & Beverage,363000
252,sambal extra french fries,Fast Food,Food & Beverage,74000
253,gurame bakar nasi goreng spesial ayam bakar madu sop iga service charge,Restaurants,Food & Beverage,405000
254,maybelline fit me body mist hand cream scarlett body scrub azarine sunscreen herborist body butter garnier micellar water pixy bedak two way cake,Beauty,Health & Personal Care,735000
255,bp,Gas & Fuel,Transportation,406000
256,revlon lipstick garnier micellar water azarine sunscreen scarlett body scrub,Beauty,Health & Personal Care,391000
257,somethinc serum emina lip cream hand cream garnier micellar water,Beauty,Health & Personal Care,279000
258,brownies banana bread,Coffee Shops,Food & Beverage,217000
259,airport train,Transportation,Transportation,86500
260,matcha latte lychee tea croissant butter cheesecake slice brownies iced americano service charge,Coffee Shops,Food & Beverage,645700
261,maybelline fit me somethinc serum,Beauty,Health & Personal Care,235000
262,tiket mrt jakarta tiket bus akap,Transportation,Transportation,827000
263,pertamax turbo,Gas & Fuel,Transportation,174000
264,cat tembok storage box l organizer drawer keran air gantungan baju set lampu led kabel roll stop artificial plant rak susun tingkat pisau dapur,Home Improvement,Housing & Utilities,1461400
265,parkir mobil tiket bus transjakarta tiket ferry tiket bus akap,Transportation,Transportation,348000
266,nasi putih kwetiau siram sapi gurame bakar,Restaurants,Food & Beverage,290500
267,vitamin c mg betadine masker medis enervon c botol oralit sachet promag tablet paracetamol mg tolak angin box,Health,Health & Personal Care,380400
268,anti gores hp,Electronics & Software,Lifestyle & Entertainment,73000
269,garam refina kopi kapal api mix ultra milk coklat fiesta nugget tissue nice s sosis so nice tepung segitiga biru sunlight lime,Groceries,Food & Beverage,282900
270,service charge bebek goreng mie ayam jamur cumi saus padang,Restaurants,Food & Beverage,161700
271,aqua roma kelapa yakult,Groceries,Food & Beverage,32000
272,vitamin c mg oralit sachet paracetamol mg hansaplast betadine obh combi antangin cair,Health,Health & Personal Care,174000
273,pixy bedak two way cake azarine sunscreen,Beauty,Health & Personal Care,109000
274,indomie goreng filma minyak l garam refina roma kelapa good day cappuccino kecap bango,Groceries,Food & Beverage,92500
275,kopi susu gula aren spanish latte,Coffee Shops,Food & Beverage,61000
276,yakult fiesta nugget telur ayam sunlight lime nu green tea,Groceries,Food & Beverage,151000
277,walls cornetto kecap bango filma minyak l teh pucuk nu green tea kopi kapal api mix,Groceries,Food & Beverage,175000
278,silverqueen indomie goreng indomie ayam bawang,Groceries,Food & Beverage,36000
279,paket hemat spaghetti chicken paket burger combo,Fast Food,Food & Beverage,202100
280,bio solar,Gas & Fuel,Transportation,156000
281,maybelline fit me pixy bedak two way cake ellips hair vitamin vaseline body lotion,Beauty,Health & Personal Care,387000
282,hand cream makarizo hair mask,Beauty,Health & Personal Care,138000
283,oralit sachet,Health,Health & Personal Care,2000
284,sunlight lime,Household,Housing & Utilities,36000
285,kabel roll stop artificial plant storage box l rak susun tingkat lampu led keran air jam dinding,Home Improvement,Housing & Utilities,1063000
286,silverqueen aqua bimoli l mie sedaap soto good day cappuccino teh pucuk sunlight lime,Groceries,Food & Beverage,221000
287,kopi kapal api mix pop mie ayam nu green tea yakult pepsodent telur ayam,Groceries,Food & Beverage,101000
288,samsung a anti gores hp,Electronics & Software,Lifestyle & Entertainment,3254200
289,tol dalam kota tiket krl bagasi tambahan tiket ferry tiket pesawat domestik,Transportation,Transportation,5136000
290,garnier micellar water body mist ponds face wash wardah lightening toner maybelline fit me pixy bedak two way cake makarizo hair mask emina lip cream,Beauty,Health & Personal Care,518500
291,yakult telur ayam garam refina walls cornetto le minerale sunlight lime frisian flag uht silverqueen,Groceries,Food & Beverage,229400
292,cumi saus padang bakso urat sop iga,Restaurants,Food & Beverage,299000
293,chitato sapi panggang mie sedaap soto,Groceries,Food & Beverage,19000
294,take away bag burger cheese paket hemat spicy chicken wings chicken popcorn,Fast Food,Food & Beverage,238500
295,roma kelapa sunlight lime,Groceries,Food & Beverage,78000
296,frisian flag uht garam refina piattos sapi panggang lifebuoy sabun batang kopi kapal api mix gula pasir pop mie ayam,Groceries,Food & Beverage,112200
297,hansaplast tolak angin box vitamin c mg,Health,Health & Personal Care,160700
298,nu green tea ultra milk coklat tissue nice s fiesta nugget telur ayam frisian flag uht pepsodent walls cornetto tepung segitiga biru kecap bango,Groceries,Food & Beverage,450800
299,mie goreng jawa es cendol bakso urat,Restaurants,Food & Beverage,115000
300,revvo,Gas & Fuel,Transportation,455000
301,oreo vanilla fiesta nugget pepsodent piattos sapi panggang le minerale ultra milk coklat bimoli l saus sambal abc filma minyak l aqua,Groceries,Food & Beverage,370000
302,pertamax,Gas & Fuel,Transportation,325000
303,tax resto service charge,Restaurants,Food & Beverage,34000
304,indomie goreng kopi kapal api mix aqua gula pasir piattos sapi panggang sunlight lime,Groceries,Food & Beverage,198500
305,cola medium spicy chicken wings ice cream cone paket ayam nasi,Fast Food,Food & Beverage,202000
306,wipol kain pel lap microfiber sos pembersih lantai baygon aerosol rinso deterjen,Household,Housing & Utilities,523200
307,sop iga capcay seafood air mineral es cendol gurame bakar,Restaurants,Food & Beverage,888000
308,karbol wangi wipol attack easy kain pel,Household,Housing & Utilities,174000
309,termometer digital bodrex flu batuk promag tablet obh combi,Health,Health & Personal Care,197500
310,pb ayam goreng crispy,Fast Food,Food & Beverage,24000
311,shell v power,Gas & Fuel,Transportation,155000
312,iced americano tax resto,Coffee Shops,Food & Beverage,210000
313,paket ayam nasi chicken nugget rice bowl chicken ayam goreng crispy,Fast Food,Food & Beverage,177000
314,sunlight lime silverqueen pepsodent lifebuoy sabun batang telur ayam le minerale nu green tea pop mie ayam frisian flag uht mie sedaap soto tepung segitiga biru good day cappuccino,Groceries,Food & Beverage,173200
315,paracetamol mg bodrex flu batuk hansaplast masker medis minyak kayu putih vitamin c mg,Health,Health & Personal Care,316500
316,mie sedaap soto nu green tea telur ayam frisian flag uht good day cappuccino kecap bango bimoli l,Groceries,Food & Beverage,163000
