Date,Category,Transaction Type,Amount_IDR,Macro_Category
2018-08-27,Food,Expense,12488.596491228069,Food & Beverage
2018-08-27,Food,Expense,9366.447368421052,Food & Beverage
2018-08-27,Food,Expense,7493.157894736842,Food & Beverage
2018-08-26,Interest,Income,6244.298245614034,Income & Rewards
2018-08-25,Apparel,Expense,18941.038011695906,Lifestyle & Entertainment
2018-08-24,Food,Expense,233120.4678362573,Food & Beverage
2018-08-24,Other,Income,208143.27485380115,Others
2018-08-24,Food,Expense,4162.8654970760235,Food & Beverage
2018-08-24,Food,Expense,7493.157894736842,Food & Beverage
2018-08-24,Festivals,Expense,208143.27485380115,Lifestyle & Entertainment
2018-08-23,Transportation,Expense,271710.2309941521,Transportation
2018-08-23,Transportation,Expense,250895.90350877194,Transportation
2018-08-23,Food,Expense,12488.596491228069,Food & Beverage
2018-08-22,Food,Expense,7701.3011695906425,Food & Beverage
2018-08-21,Food,Expense,2497.719298245614,Food & Beverage
2018-08-21,Food,Expense,7493.157894736842,Food & Beverage
2018-08-19,subscription,Expense,41420.51169590643,Lifestyle & Entertainment
2018-08-17,Food,Expense,4162.8654970760235,Food & Beverage
2018-08-17,Food,Expense,7493.157894736842,Food & Beverage
2018-08-17,Dividend earned on Shares,Income,4579.152046783625,Income & Rewards
2018-08-16,subscription,Expense,32678.494152046784,Lifestyle & Entertainment
2018-08-15,Food,Expense,60361.54970760234,Food & Beverage
2018-08-15,Food,Expense,44958.94736842105,Food & Beverage
2018-08-14,Dividend earned on Shares,Income,25809.766081871345,Income & Rewards
2018-08-14,Family,Expense,6244.298245614034,Others
2018-08-14,Food,Expense,6660.584795321637,Food & Beverage
2018-08-14,Household,Expense,33302.92397660819,Housing & Utilities
2018-08-14,Apparel,Expense,11656.023391812865,Lifestyle & Entertainment
2018-08-14,Food,Expense,23936.476608187135,Food & Beverage
2018-08-13,Household,Expense,20814.327485380116,Housing & Utilities
2018-08-13,Household,Expense,45791.52046783626,Housing & Utilities
2018-08-13,Food,Expense,9366.447368421052,Food & Beverage
2018-08-13,Household,Expense,123637.1052631579,Housing & Utilities
2018-08-13,Food,Expense,2081.4327485380118,Food & Beverage
2018-08-13,Food,Expense,4162.8654970760235,Food & Beverage
2018-08-11,Food,Expense,19981.754385964912,Food & Beverage
2018-08-10,Family,Expense,7285.014619883041,Others
2018-08-06,Beauty,Expense,20814.327485380116,Health & Personal Care
2018-08-05,Family,Expense,20814.327485380116,Others
2018-08-05,Food,Expense,2081.4327485380118,Food & Beverage
2018-08-05,Health,Expense,895016.0818713449,Health & Personal Care
2018-08-05,Apparel,Expense,709768.5672514619,Lifestyle & Entertainment
2018-08-05,Transportation,Expense,4162.8654970760235,Transportation
2018-08-05,Transportation,Expense,3122.149122807017,Transportation
2018-08-05,Family,Expense,82841.02339181287,Others
2018-08-03,Other,Income,20814.327485380116,Others
2018-08-03,Family,Expense,416286.5497076023,Others
2018-08-03,Dividend earned on Shares,Income,37465.789473684206,Income & Rewards
2018-08-02,Household,Expense,3746.578947368421,Housing & Utilities
2018-08-02,Food,Expense,44958.94736842105,Food & Beverage
2018-08-02,Health,Expense,208143.27485380115,Health & Personal Care
2018-08-01,Family,Expense,8325.730994152047,Others
2018-07-31,Apparel,Expense,18941.038011695906,Lifestyle & Entertainment
2018-07-31,maid,Expense,416286.5497076023,Housing & Utilities
2018-07-31,Food,Expense,2081.4327485380118,Food & Beverage
2018-07-31,Salary,Income,14623105.774853801,Income & Rewards
2018-07-30,Health,Expense,20814.327485380116,Health & Personal Care
2018-07-30,Health,Expense,27474.912280701752,Health & Personal Care
2018-07-30,Food,Expense,44126.37426900584,Food & Beverage
2018-07-30,Food,Expense,5203.581871345029,Food & Beverage
2018-07-29,Food,Expense,54117.2514619883,Food & Beverage
2018-07-29,Transportation,Expense,10407.163742690058,Transportation
2018-07-29,Transportation,Expense,3122.149122807017,Transportation
2018-07-29,Transportation,Expense,8325.730994152047,Transportation
2018-07-29,Food,Expense,21855.043859649122,Food & Beverage
2018-07-28,Family,Expense,41628.65497076023,Others
2018-07-28,Culture,Expense,100191.84678362573,Lifestyle & Entertainment
2018-07-28,Food,Expense,40587.93859649123,Food & Beverage
2018-07-28,Household,Expense,780537.2807017544,Housing & Utilities
2018-07-27,Other,Expense,171926.34502923975,Others
2018-07-26,Food,Expense,8325.730994152047,Food & Beverage
2018-07-26,Tax refund,Income,1411211.403508772,Income & Rewards
2018-07-23,subscription,Expense,32054.06432748538,Lifestyle & Entertainment
2018-07-23,Food,Expense,20814.327485380116,Food & Beverage
2018-07-21,Household,Expense,76596.72514619882,Housing & Utilities
2018-07-21,Food,Expense,6244.298245614034,Food & Beverage
2018-07-21,Food,Expense,12488.596491228069,Food & Beverage
2018-07-21,Food,Expense,9366.447368421052,Food & Beverage
2018-07-20,Food,Expense,4162.8654970760235,Food & Beverage
2018-07-20,Food,Expense,5203.581871345029,Food & Beverage
2018-07-20,Transportation,Expense,32262.20760233918,Transportation
2018-07-20,Health,Expense,18108.464912280702,Health & Personal Care
2018-07-20,Health,Expense,218134.15204678362,Health & Personal Care
2018-07-19,Food,Expense,8325.730994152047,Food & Beverage
2018-07-18,Food,Expense,44958.94736842105,Food & Beverage
2018-07-16,Apparel,Expense,17484.035087719298,Lifestyle & Entertainment
2018-07-16,Household,Expense,247690.49707602337,Housing & Utilities
2018-07-16,Food,Expense,17484.035087719298,Food & Beverage
2018-07-15,Food,Expense,6244.298245614034,Food & Beverage
2018-07-15,Food,Expense,104071.63742690058,Food & Beverage
2018-07-15,Food,Expense,9990.877192982456,Food & Beverage
2018-07-14,Other,Expense,416286.5497076023,Others
2018-07-13,Transportation,Expense,39130.93567251462,Transportation
2018-07-13,Health,Expense,282658.56725146197,Health & Personal Care
2018-07-12,Food,Expense,7285.014619883041,Food & Beverage
2018-07-11,Food,Expense,11864.166666666666,Food & Beverage
2018-07-10,Dividend earned on Shares,Income,37465.789473684206,Income & Rewards
2018-07-09,Transportation,Expense,74931.57894736841,Transportation
2018-07-09,Food,Expense,4162.8654970760235,Food & Beverage
2018-07-09,Food,Expense,12488.596491228069,Food & Beverage
2018-07-08,Transportation,Expense,38506.505847953216,Transportation
2018-07-08,Food,Expense,6244.298245614034,Food & Beverage
2018-07-08,Health,Expense,31845.921052631576,Health & Personal Care
2018-07-08,Health,Expense,104071.63742690058,Health & Personal Care
2018-07-08,Transportation,Expense,27058.62573099415,Transportation
2018-07-08,Transportation,Expense,140496.7105263158,Transportation
2018-07-07,Transportation,Expense,2081.4327485380118,Transportation
2018-07-07,Food,Expense,416.2865497076023,Food & Beverage
2018-07-07,subscription,Expense,40796.08187134503,Lifestyle & Entertainment
2018-07-06,Food,Expense,158188.88888888888,Food & Beverage
2018-07-06,Transportation,Expense,20814.327485380116,Transportation
2018-07-05,Transportation,Expense,17275.891812865495,Transportation
2018-07-05,Food,Expense,1457.0029239766081,Food & Beverage
2018-07-05,Transportation,Expense,3122.149122807017,Transportation
2018-07-05,Transportation,Expense,4162.8654970760235,Transportation
2018-07-04,Health,Expense,20814.327485380116,Health & Personal Care
2018-07-04,Beauty,Expense,10407.163742690058,Health & Personal Care
2018-07-04,Family,Expense,72850.1461988304,Others
2018-07-04,Health,Expense,299726.31578947365,Health & Personal Care
2018-07-03,maid,Expense,104071.63742690058,Housing & Utilities
2018-07-03,Food,Expense,7493.157894736842,Food & Beverage
2018-07-03,subscription,Expense,32054.06432748538,Lifestyle & Entertainment
2018-07-03,Dividend earned on Shares,Income,10927.521929824561,Income & Rewards
2018-07-02,Household,Expense,331988.52339181287,Housing & Utilities
2018-07-02,Transportation,Expense,10407.163742690058,Transportation
2018-07-02,Transportation,Expense,4162.8654970760235,Transportation
2018-07-02,Household,Expense,130297.69005847952,Housing & Utilities
2018-07-02,Transportation,Expense,5411.72514619883,Transportation
2018-07-02,Transportation,Expense,8325.730994152047,Transportation
2018-07-01,Culture,Expense,95954.04970760233,Lifestyle & Entertainment
2018-07-01,Transportation,Expense,393390.7894736842,Transportation
2018-07-01,Food,Expense,3122.149122807017,Food & Beverage
2018-07-01,Apparel,Expense,89501.6081871345,Lifestyle & Entertainment
2018-07-01,Apparel,Expense,20398.040935672514,Lifestyle & Entertainment
2018-07-01,Food,Expense,14986.315789473683,Food & Beverage
2018-06-30,Household,Expense,249771.9298245614,Housing & Utilities
2018-06-30,Dividend earned on Shares,Income,8950.16081871345,Income & Rewards
2018-06-30,Interest,Income,71185.0,Income & Rewards
2018-06-30,Salary,Income,13554706.345029239,Income & Rewards
2018-06-29,Dividend earned on Shares,Income,9158.30409356725,Income & Rewards
2018-06-29,Household,Expense,14570.029239766081,Housing & Utilities
2018-06-29,Household,Expense,10407.163742690058,Housing & Utilities
2018-06-29,Household,Expense,56198.68421052631,Housing & Utilities
2018-06-28,Food,Expense,94705.19005847952,Food & Beverage
2018-06-28,Food,Expense,14570.029239766081,Food & Beverage
2018-06-28,Transportation,Expense,47456.666666666664,Transportation
2018-06-28,Apparel,Expense,13491.84707602339,Lifestyle & Entertainment
2018-06-27,Tourism,Expense,64285.050438596496,Lifestyle & Entertainment
2018-06-27,Other,Income,624429.8245614035,Others
2018-06-27,Food,Expense,2914.0058479532163,Food & Beverage
2018-06-27,Household,Expense,20814.327485380116,Housing & Utilities
2018-06-27,Other,Expense,982436.2573099415,Others
2018-06-27,Apparel,Expense,93664.47368421052,Lifestyle & Entertainment
2018-06-27,Apparel,Expense,114478.80116959063,Lifestyle & Entertainment
2018-06-27,Transportation,Expense,5203.581871345029,Transportation
2018-06-27,Transportation,Expense,16651.461988304094,Transportation
2018-06-27,Transportation,Expense,6244.298245614034,Transportation
2018-06-26,Transportation,Expense,6244.298245614034,Transportation
2018-06-26,Household,Expense,414205.1169590643,Housing & Utilities
2018-06-26,Household,Expense,2716269.736842105,Housing & Utilities
2018-06-26,Household,Expense,14570.029239766081,Housing & Utilities
2018-06-26,Transportation,Expense,4162.8654970760235,Transportation
2018-06-26,Food,Expense,4162.8654970760235,Food & Beverage
2018-06-26,Food,Expense,6244.298245614034,Food & Beverage
2018-06-25,Food,Expense,66605.84795321638,Food & Beverage
2018-06-25,Household,Expense,431689.1520467836,Housing & Utilities
2018-06-24,Transportation,Expense,8325.730994152047,Transportation
2018-06-24,Food,Expense,3746.578947368421,Food & Beverage
2018-06-24,Food,Expense,14986.315789473683,Food & Beverage
2018-06-24,Health,Expense,44074.338450292395,Health & Personal Care
2018-06-24,Transportation,Expense,6244.298245614034,Transportation
2018-06-24,subscription,Expense,32678.494152046784,Lifestyle & Entertainment
2018-06-24,Food,Expense,12488.596491228069,Food & Beverage
2018-06-23,subscription,Expense,529724.6345029239,Lifestyle & Entertainment
2018-06-23,Transportation,Expense,6244.298245614034,Transportation
2018-06-22,subscription,Expense,37673.93274853801,Lifestyle & Entertainment
2018-06-19,Family,Expense,416286.5497076023,Others
2018-06-19,subscription,Expense,5203.581871345029,Lifestyle & Entertainment
2018-06-18,subscription,Expense,3122.149122807017,Lifestyle & Entertainment
2018-06-15,subscription,Expense,3122.149122807017,Lifestyle & Entertainment
2018-06-15,Transportation,Expense,252602.67836257306,Transportation
2018-06-11,Food,Expense,17484.035087719298,Food & Beverage
2018-06-11,Self-development,Expense,292857.58771929826,Lifestyle & Entertainment
2018-06-10,Household,Expense,624429.8245614035,Housing & Utilities
2018-06-09,subscription,Expense,138831.56432748536,Lifestyle & Entertainment
2018-05-31,Salary,Income,13557204.064327484,Income & Rewards
2018-05-30,Dividend earned on Shares,Income,18316.6081871345,Income & Rewards
2018-05-28,subscription,Expense,5203.581871345029,Lifestyle & Entertainment
2018-05-28,Beauty,Expense,20814.327485380116,Health & Personal Care
2018-05-27,Interest,Income,5828.011695906433,Income & Rewards
2018-05-27,Household,Expense,15610.745614035088,Housing & Utilities
2018-05-26,Transportation,Expense,10407.163742690058,Transportation
2018-05-24,subscription,Expense,138831.56432748536,Lifestyle & Entertainment
2018-05-23,subscription,Expense,34551.78362573099,Lifestyle & Entertainment
2018-05-22,Health,Expense,32054.06432748538,Health & Personal Care
2018-05-21,Family,Expense,29140.058479532163,Others
2018-05-20,Family,Expense,25393.479532163743,Others
2018-05-19,Household,Expense,5203.581871345029,Housing & Utilities
2018-05-19,subscription,Expense,3122.149122807017,Lifestyle & Entertainment
2018-05-18,subscription,Expense,62651.12573099415,Lifestyle & Entertainment
2018-05-15,Food,Expense,28099.342105263157,Food & Beverage
2018-05-15,Transportation,Expense,6244.298245614034,Transportation
2018-05-15,Household,Expense,4475080.4093567245,Housing & Utilities
2018-05-15,Transportation,Expense,10407.163742690058,Transportation
2018-05-14,Amazon pay cashback,Income,4371.008771929824,Income & Rewards
2018-05-14,subscription,Expense,62651.12573099415,Lifestyle & Entertainment
2018-05-14,Other,Expense,8325.730994152047,Others
2018-05-14,Transportation,Expense,10407.163742690058,Transportation
2018-05-14,Food,Expense,3122.149122807017,Food & Beverage
2018-05-14,Food,Expense,260179.09356725146,Food & Beverage
2018-05-14,Transportation,Expense,8325.730994152047,Transportation
2018-05-13,Apparel,Expense,16027.03216374269,Lifestyle & Entertainment
2018-05-13,Education,Expense,2497.719298245614,Lifestyle & Entertainment
2018-05-13,scrap,Income,4162.8654970760235,Others
2018-05-12,Food,Expense,90958.61111111111,Food & Beverage
2018-05-12,Food,Expense,14570.029239766081,Food & Beverage
2018-05-12,Food,Expense,9990.877192982456,Food & Beverage
2018-05-12,Food,Expense,14986.315789473683,Food & Beverage
2018-05-11,Food,Expense,4162.8654970760235,Food & Beverage
2018-05-10,Food,Expense,16651.461988304094,Food & Beverage
2018-05-10,Other,Income,197111.6812865497,Others
2018-05-09,subscription,Expense,2497.719298245614,Lifestyle & Entertainment
2018-05-09,Food,Expense,9366.447368421052,Food & Beverage
2018-05-09,Food,Expense,7493.157894736842,Food & Beverage
2018-05-09,subscription,Expense,41420.51169590643,Lifestyle & Entertainment
2018-05-08,Food,Expense,104071.63742690058,Food & Beverage
2018-05-08,Food,Expense,14986.315789473683,Food & Beverage
2018-05-08,Beauty,Expense,10407.163742690058,Health & Personal Care
2018-05-07,Household,Expense,226043.59649122806,Housing & Utilities
2018-05-07,Transportation,Expense,4162.8654970760235,Transportation
2018-05-07,subscription,Expense,107193.7865497076,Lifestyle & Entertainment
2018-05-07,Food,Expense,89501.6081871345,Food & Beverage
2018-05-07,Food,Expense,14986.315789473683,Food & Beverage
2018-05-06,Other,Income,624429.8245614035,Others
2018-05-05,Family,Expense,124885.9649122807,Others
2018-05-04,Household,Expense,7701.3011695906425,Housing & Utilities
2018-05-04,Food,Expense,14986.315789473683,Food & Beverage
2018-05-03,Food,Expense,8325.730994152047,Food & Beverage
2018-05-02,Food,Expense,58280.116959064326,Food & Beverage
2018-05-01,Food,Expense,14986.315789473683,Food & Beverage
2018-05-01,Health,Expense,8950.16081871345,Health & Personal Care
2018-05-01,Health,Expense,25393.479532163743,Health & Personal Care
2018-05-01,Family,Expense,54117.2514619883,Others
2018-04-30,Food,Expense,14986.315789473683,Food & Beverage
2018-04-30,Household,Expense,34343.64035087719,Housing & Utilities
2018-04-30,subscription,Expense,36633.216374269,Lifestyle & Entertainment
2018-04-30,Food,Expense,9366.447368421052,Food & Beverage
2018-04-30,Gift,Expense,104071.63742690058,Lifestyle & Entertainment
2018-04-29,Food,Expense,8325.730994152047,Food & Beverage
2018-04-29,Salary,Income,13557204.064327484,Income & Rewards
2018-04-28,Food,Expense,85963.17251461987,Food & Beverage
2018-04-28,Family,Expense,104071.63742690058,Others
2018-04-27,Household,Expense,61402.26608187134,Housing & Utilities
2018-04-26,Food,Expense,6244.298245614034,Food & Beverage
2018-04-26,Food,Expense,14986.315789473683,Food & Beverage
2018-04-26,Family,Expense,208143.27485380115,Others
2018-04-25,Food,Expense,14570.029239766081,Food & Beverage
2018-04-24,subscription,Expense,32678.494152046784,Lifestyle & Entertainment
2018-04-23,Household,Expense,7909.444444444444,Housing & Utilities
2018-04-23,maid,Expense,104071.63742690058,Housing & Utilities
2018-04-22,Food,Expense,2081.4327485380118,Food & Beverage
2018-04-22,Household,Expense,39547.22222222222,Housing & Utilities
2018-04-22,Food,Expense,14986.315789473683,Food & Beverage
2018-04-21,Food,Expense,33302.92397660819,Food & Beverage
2018-04-21,Food,Expense,4162.8654970760235,Food & Beverage
2018-04-20,Food,Expense,14570.029239766081,Food & Beverage
2018-04-19,Household,Expense,2914.0058479532163,Housing & Utilities
2018-04-19,Food,Expense,7493.157894736842,Food & Beverage
2018-04-19,Food,Expense,14986.315789473683,Food & Beverage
2018-04-17,Food,Expense,14986.315789473683,Food & Beverage
2018-04-16,Education,Expense,4371.008771929824,Lifestyle & Entertainment
2018-04-16,Apparel,Expense,13113.026315789473,Lifestyle & Entertainment
2018-04-16,Household,Expense,56198.68421052631,Housing & Utilities
2018-04-16,Household,Expense,55157.96783625731,Housing & Utilities
2018-04-16,Household,Expense,93664.47368421052,Housing & Utilities
2018-04-15,Food,Expense,14570.029239766081,Food & Beverage
2018-04-15,Food,Expense,4162.8654970760235,Food & Beverage
2018-04-15,Household,Expense,166306.47660818713,Housing & Utilities
2018-04-15,Family,Expense,109275.2192982456,Others
2018-04-15,Transportation,Expense,2081.4327485380118,Transportation
2018-04-15,Transportation,Expense,4162.8654970760235,Transportation
2018-04-14,Household,Expense,22271.330409356724,Housing & Utilities
2018-04-14,Food,Expense,8325.730994152047,Food & Beverage
2018-04-14,Food,Expense,9366.447368421052,Food & Beverage
2018-04-14,Food,Expense,14986.315789473683,Food & Beverage
2018-04-13,Health,Expense,145700.2923976608,Health & Personal Care
2018-04-12,subscription,Expense,41420.51169590643,Lifestyle & Entertainment
2018-04-12,Household,Expense,23312.04678362573,Housing & Utilities
2018-04-12,Food,Expense,4162.8654970760235,Food & Beverage
2018-04-12,Food,Expense,27058.62573099415,Food & Beverage
2018-04-10,Food,Expense,3746.578947368421,Food & Beverage
2018-04-10,Food,Expense,14570.029239766081,Food & Beverage
2018-04-10,Gift,Expense,52035.81871345029,Lifestyle & Entertainment
2018-04-09,Food,Expense,2081.4327485380118,Food & Beverage
2018-04-09,Food,Expense,14986.315789473683,Food & Beverage
2018-04-07,Household,Expense,386522.06140350876,Housing & Utilities
2018-04-07,Household,Expense,4995.438596491228,Housing & Utilities
2018-04-07,Food,Expense,7493.157894736842,Food & Beverage
2018-04-05,Household,Expense,7909.444444444444,Housing & Utilities
2018-04-05,Food,Expense,7493.157894736842,Food & Beverage
2018-04-05,Food,Expense,14986.315789473683,Food & Beverage
2018-04-05,Food,Expense,27058.62573099415,Food & Beverage
2018-04-02,Transportation,Expense,4162.8654970760235,Transportation
2018-04-02,Household,Expense,31013.347953216373,Housing & Utilities
2018-04-02,Food,Expense,4995.438596491228,Food & Beverage
2018-04-02,Food,Expense,4162.8654970760235,Food & Beverage
2018-04-02,Food,Expense,7493.157894736842,Food & Beverage
2018-04-02,maid,Expense,416286.5497076023,Housing & Utilities
2018-04-01,Interest,Income,71809.4298245614,Income & Rewards
2018-04-01,Other,Expense,1228.045321637427,Others
2018-04-01,Other,Expense,5157.790350877193,Others
2018-04-01,Interest,Income,71840.65131578947,Income & Rewards
2018-04-01,Food,Expense,14986.315789473683,Food & Beverage
2018-03-31,Food,Expense,9366.447368421052,Food & Beverage
2018-03-31,Food,Expense,50786.959064327486,Food & Beverage
2018-03-31,Salary,Income,13453548.713450292,Income & Rewards
2018-03-31,Food,Expense,87212.03216374268,Food & Beverage
2018-03-31,Transportation,Expense,2081.4327485380118,Transportation
2018-03-31,Interest,Income,122596.38888888888,Income & Rewards
2018-03-31,Transportation,Expense,6244.298245614034,Transportation
2018-03-30,Food,Expense,5203.581871345029,Food & Beverage
2018-03-30,Food,Expense,4162.8654970760235,Food & Beverage
2018-03-30,Food,Expense,14986.315789473683,Food & Beverage
2018-03-29,Food,Expense,256848.80116959062,Food & Beverage
2018-03-27,Food,Expense,7285.014619883041,Food & Beverage
2018-03-26,Food,Expense,14986.315789473683,Food & Beverage
2018-03-26,subscription,Expense,32678.494152046784,Lifestyle & Entertainment
2018-03-25,Dividend earned on Shares,Income,8429.802631578947,Income & Rewards
2018-03-25,Transportation,Expense,2081.4327485380118,Transportation
2018-03-25,Food,Expense,5203.581871345029,Food & Beverage
2018-03-25,Food,Expense,4162.8654970760235,Food & Beverage
2018-03-25,Food,Expense,33302.92397660819,Food & Beverage
2018-03-25,Food,Expense,16651.461988304094,Food & Beverage
2018-03-25,Food,Expense,49954.385964912275,Food & Beverage
2018-03-23,Culture,Expense,20814.327485380116,Lifestyle & Entertainment
2018-03-22,Food,Expense,1457.0029239766081,Food & Beverage
2018-03-22,Food,Expense,3122.149122807017,Food & Beverage
2018-03-22,Household,Expense,31845.921052631576,Housing & Utilities
2018-03-22,Food,Expense,31221.491228070176,Food & Beverage
2018-03-22,Food,Expense,4162.8654970760235,Food & Beverage
2018-03-22,Food,Expense,14986.315789473683,Food & Beverage
2018-03-21,Food,Expense,4995.438596491228,Food & Beverage
2018-03-21,Household,Expense,7909.444444444444,Housing & Utilities
2018-03-21,Family,Expense,10407.163742690058,Others
2018-03-20,Food,Expense,51203.245614035084,Food & Beverage
2018-03-20,Other,Expense,3538.43567251462,Others
2018-03-20,Food,Expense,44906.9115497076,Food & Beverage
2018-03-20,Food,Expense,3746.578947368421,Food & Beverage
2018-03-20,Food,Expense,7493.157894736842,Food & Beverage
2018-03-18,Transportation,Expense,2081.4327485380118,Transportation
2018-03-18,Food,Expense,3122.149122807017,Food & Beverage
2018-03-18,Family,Expense,166306.47660818713,Others
2018-03-18,Family,Expense,103655.35087719298,Others
2018-03-18,Food,Expense,10407.163742690058,Food & Beverage
2018-03-18,Food,Expense,6244.298245614034,Food & Beverage
2018-03-18,Food,Expense,2081.4327485380118,Food & Beverage
2018-03-18,Transportation,Expense,4162.8654970760235,Transportation
2018-03-17,Food,Expense,6244.298245614034,Food & Beverage
2018-03-17,Food,Expense,7701.3011695906425,Food & Beverage
2018-03-15,Food,Expense,12488.596491228069,Food & Beverage
2018-03-15,Food,Expense,7493.157894736842,Food & Beverage
2018-03-14,Household,Expense,29140.058479532163,Housing & Utilities
2018-03-14,Food,Expense,8325.730994152047,Food & Beverage
2018-03-14,Food,Expense,120306.81286549706,Food & Beverage
2018-03-13,Family,Expense,99908.77192982455,Others
2018-03-13,Food,Expense,7493.157894736842,Food & Beverage
2018-03-12,Transportation,Expense,269129.2543859649,Transportation
2018-03-10,Household,Expense,62442.98245614035,Housing & Utilities
2018-03-10,Health,Expense,16027.03216374269,Health & Personal Care
2018-03-10,Food,Expense,14986.315789473683,Food & Beverage
2018-03-10,Food,Expense,7493.157894736842,Food & Beverage
2018-03-08,Apparel,Expense,18941.038011695906,Lifestyle & Entertainment
2018-03-08,Food,Expense,8325.730994152047,Food & Beverage
2018-03-08,Petty cash,Income,104071.63742690058,Others
2018-03-08,subscription,Expense,112397.36842105263,Lifestyle & Entertainment
2018-03-08,Food,Expense,7493.157894736842,Food & Beverage
2018-03-07,Festivals,Expense,4162.8654970760235,Lifestyle & Entertainment
2018-03-07,Food,Expense,6244.298245614034,Food & Beverage
2018-03-06,Health,Expense,35800.6432748538,Health & Personal Care
2018-03-06,Health,Expense,4579.152046783625,Health & Personal Care
2018-03-06,Education,Expense,832.5730994152046,Lifestyle & Entertainment
2018-03-06,Petty cash,Income,728501.461988304,Others
2018-03-06,Food,Expense,7493.157894736842,Food & Beverage
2018-03-06,Documents,Expense,10407.163742690058,Others
2018-03-06,Family,Expense,10407.163742690058,Others
2018-03-05,Food,Expense,4162.8654970760235,Food & Beverage
2018-03-05,Food,Expense,33719.21052631579,Food & Beverage
2018-03-05,Household,Expense,282450.42397660814,Housing & Utilities
2018-03-05,Household,Expense,202315.26315789472,Housing & Utilities
2018-03-05,Other,Expense,2081.4327485380118,Others
2018-03-04,Family,Expense,93664.47368421052,Others
2018-03-04,Food,Expense,27058.62573099415,Food & Beverage
2018-03-03,Dividend earned on Shares,Income,16235.17543859649,Income & Rewards
2018-03-03,Food,Expense,7493.157894736842,Food & Beverage
2018-03-02,Food,Expense,3122.149122807017,Food & Beverage
2018-03-01,Food,Expense,39339.07894736842,Food & Beverage
2018-03-01,Food,Expense,7493.157894736842,Food & Beverage
2018-02-28,Food,Expense,9366.447368421052,Food & Beverage
2018-02-28,Food,Expense,7493.157894736842,Food & Beverage
2018-02-28,Food,Expense,6244.298245614034,Food & Beverage
2018-02-28,Food,Expense,3746.578947368421,Food & Beverage
2018-02-28,Salary,Income,13436897.251461988,Income & Rewards
2018-02-27,Household,Expense,7909.444444444444,Housing & Utilities
2018-02-27,Food,Expense,6244.298245614034,Food & Beverage
2018-02-26,Food,Expense,15194.459064327484,Food & Beverage
2018-02-26,Household,Expense,29140.058479532163,Housing & Utilities
2018-02-26,Transportation,Expense,92207.47076023392,Transportation
2018-02-26,Food,Expense,3538.43567251462,Food & Beverage
2018-02-24,Food,Expense,8325.730994152047,Food & Beverage
2018-02-23,Health,Expense,26642.33918128655,Health & Personal Care
2018-02-23,Food,Expense,4162.8654970760235,Food & Beverage
2018-02-23,Food,Expense,14986.315789473683,Food & Beverage
2018-02-22,subscription,Expense,32678.494152046784,Lifestyle & Entertainment
2018-02-22,Food,Expense,4162.8654970760235,Food & Beverage
2018-02-22,Food,Expense,39963.508771929824,Food & Beverage
2018-02-20,Household,Expense,541172.514619883,Housing & Utilities
